company_id,type,rule_id,text,confidence_pct
ABB,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
ABB,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
ABB,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
ABB,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
ADANIENSOL,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
ADANIENSOL,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIENSOL,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
ADANIENSOL,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
ADANIENT,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
ADANIENT,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIENT,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
ADANIGREEN,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
ADANIGREEN,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIGREEN,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
ADANIGREEN,pro,pro_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
ADANIGREEN,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
ADANIPORTS,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
ADANIPORTS,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIPORTS,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
ADANIPORTS,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
ADANIPOWER,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
ADANIPOWER,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIPOWER,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
ADANIPOWER,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
AMBUJACEM,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
AMBUJACEM,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
AMBUJACEM,con,con_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,74
APOLLOHOSP,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
APOLLOHOSP,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
ASIANPAINT,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
ASIANPAINT,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
ASIANPAINT,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
ATGL,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
ATGL,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ATGL,pro,pro_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
ATGL,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
ATGL,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
AXISBANK,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
AXISBANK,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
AXISBANK,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
BAJAJAUTO,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BAJAJAUTO,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BAJAJAUTO,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
BAJAJFINSV,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BAJAJFINSV,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJAJFINSV,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
BAJAJFINSV,pro,pro_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
BAJAJFINSV,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
BAJAJHLDNG,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BAJAJHLDNG,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJAJHLDNG,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
BAJAJHLDNG,pro,pro_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
BAJAJHLDNG,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BAJAJHLDNG,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
BAJFINANCE,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BAJFINANCE,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJFINANCE,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
BAJFINANCE,pro,pro_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
BAJFINANCE,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BAJFINANCE,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
BANKBARODA,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BANKBARODA,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BANKBARODA,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
BANKBARODA,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
BEL,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BEL,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
BEL,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BEL,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
BHARTIARTL,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
BHARTIARTL,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
BHEL,pro,pro_00,Available financial history provides a basis for ongoing business analysis,61
BHEL,con,con_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,86
BHEL,con,con_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,74
BOSCHLTD,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BOSCHLTD,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BOSCHLTD,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
BPCL,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BPCL,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
BRITANNIA,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BRITANNIA,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
BRITANNIA,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
CANBK,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
CANBK,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
CANBK,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
CANBK,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
CHOLAFIN,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
CHOLAFIN,pro,pro_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
CHOLAFIN,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
CHOLAFIN,pro,pro_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,82
CHOLAFIN,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
CHOLAFIN,con,con_00,Some financial indicators require continued monitoring as source history is incomplete,61
CIPLA,pro,pro_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
CIPLA,pro,pro_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
CIPLA,pro,pro_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80
