gate,status,evidence
AC-01,FAIL,observed 101 companies
AC-02,FAIL,source history coverage is below 90% for the 101-company source universe
AC-03,PASS,foreign key errors 0
AC-04,PASS,ratio rows 1276
AC-11,PASS,API health route covered by tests
AC-12,PASS,TCS ratios route covered by tests
AC-15,PASS,cluster rows 101
AC-16,PASS,pro/con coverage complete
AC-17,FAIL,tearsheets 100
AC-18,PASS,pytest suite
AC-19,PASS,validation report exists
AC-20,PASS,analyst guide page markers 11
AC-05,PASS,CAGR values generated by ratio engine
AC-06,PASS,ROE cross-check fields available
AC-07,PASS,quality screener output available
AC-08,PASS,dashboard profile route available
AC-09,PASS,screener CSV export implemented
AC-10,PASS,sample tearsheet PDFs generated
AC-13,PASS,API screener route covered by tests
AC-14,PASS,peer percentile table available
